sample_id,tc,tn,ph_h2o,ph_kcl,ph_cacl2,clay_0-0.002,silt_0.002-0.05,silt_0.002-0.063,sand_0.05-2,sand_0.063-2,al_icp,fe_icp,ca_icp,mg_icp,k_icp,mn_icp,na_icp,p_icp
cod_kbg_sid-e_2018-03_fo_rep12_sl0-5,144.8137110626,11.8357694733,4.24,NA,NA,NA,NA,NA,NA,NA,43.7042694,78.0154721,380.1241105,735.2400559,683.623203,215.0702204,44.2344425,1220.3984601
cod_ygb_sid-f_2015-02_ar_rep04-1_sl5-10,13.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep05-1_sl5-10,15.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,11.4374236,16.5246483,22.0799683,61.8239114,63.4313331,39.743943,8.0547725,242.8796518
cod_ygb_sid-f_2015-02_ar_rep05-3_sl5-10,15.2,1,NA,NA,NA,NA,NA,NA,NA,NA,9.2478783,13.6251516,20.9038839,50.1693215,58.2089552,29.2654375,7.4626866,229.9427234
cod_ygb_sid-f_2015-02_ar_rep06-1_sl5-10,10.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep06-9_sl5-10,11.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep07-2_sl5-10,7.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep08-1_sl5-10,11.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep09-9_sl5-10,9.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep10-2_sl5-10,19.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,10.0732021,14.8505017,17.5797594,57.1342179,64.4122383,35.1595187,7.0450886,202.1672327
cod_ygb_sid-f_2015-02_ar_rep11-3_sl5-10,8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep12-2_sl5-10,13.4,1,NA,NA,NA,NA,NA,NA,NA,NA,9.5438154,15.576185,22.309059,58.0035534,65.0398306,62.4653652,12.1004336,227.5524017
cod_ygb_sid-f_2015-02_ar_rep13-2_sl5-10,14,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep14-1_sl5-10,14,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep15-2_sl5-10,16.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep17-3_sl5-10,14.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep18-1_sl5-10,12.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,7.6168027,13.2634393,30.7838446,52.7723051,55.8213716,35.1815367,6.4792663,202.2938362
cod_ygb_sid-f_2015-02_ar_rep18-8_sl5-10,10.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,9.617069,15.674524,34.3739561,61.1092552,71.2279294,42.012613,7.0224719,244.4370208
cod_ygb_sid-f_2015-02_ar_rep19-4_sl5-10,10.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep20-1_sl5-10,15.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep21-2_sl5-10,11,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep21-5_sl5-10,9.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep22-7_sl5-10,13.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep23-3_sl5-10,8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,8.8191495,13.8574373,17.1662277,51.4986832,52.4213679,38.6240124,7.988018,184.5369482
cod_ygb_sid-f_2015-02_ar_rep23-5_sl5-10,7.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep25-3_sl5-10,8.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep25-5_sl5-10,8.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep26-2_sl5-10,21.3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep26-4_sl5-10,12.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep27-4_sl5-10,13.5,1,NA,NA,NA,NA,NA,NA,NA,NA,8.9269017,15.1278032,25.6766108,51.3532216,50.8525277,34.2354811,6.4812045,201.1334512
cod_ygb_sid-f_2015-02_ar_rep28-1_sl5-10,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep28-3_sl5-10,12.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep29-1_sl5-10,10,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_ygb_sid-f_2015-02_ar_rep29-4_sl5-10,11.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_ag_rep01_top,12.5355672836,1.2305185944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_ag_rep01_sub,8.1536710262,0.9215637296,NA,NA,NA,NA,NA,NA,NA,NA,89.7702313,126.7819458,191.2023784,3552.8069843,385.3884032,1089.4089001,313.536328,2307.7682414
cod_bku_2015-12-01_ag_rep02_top,13.2467901707,1.1818210781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_ag_rep02_sub,12.2033333778,1.0707896203,NA,NA,NA,NA,NA,NA,NA,NA,77.4687273,120.910163,389.686538,2895.4616018,974.7510311,851.8728969,284.6796097,1771.7143761
cod_bku_2015-12-01_ag_rep03_top,16.3239514828,1.7469148338,NA,NA,NA,NA,NA,NA,NA,NA,71.3931196,116.0752546,335.2340171,2891.3933974,382.6095677,1839.5966688,339.9859593,1806.0732671
cod_bku_2015-12-01_ag_rep03_sub,26.011865139,2.3017323017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_ag_rep04_top,29.7794747353,2.5913622975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_ag_rep04_sub,21.0015487671,1.810054481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_ag_rep05_top,23.2918405533,2.0336265862,NA,NA,NA,NA,NA,NA,NA,NA,57.111640800000004,111.1049514,614.597409,1280.0580519,842.7691696,635.7904231,418.6531585,1309.7282717
cod_bku_2015-12-01_ag_rep05_sub,18.4526515007,1.599958241,NA,NA,NA,NA,NA,NA,NA,NA,68.8851349,126.7068996,462.8988795,1370.719983,888.6220354,552.7821571,489.3425398,2242.5877755
cod_bku_2015-12-01_ag_rep06_sub,13.1144464016,1.1336457729,NA,NA,NA,NA,NA,NA,NA,NA,69.5898344,122.7913435,212.5401716,1306.8959488,741.2790698,547.1778886,572.3736969,2835.3763318
cod_bku_2015-12-01_ag_rep07_top,16.3210809231,1.4239066839,NA,NA,NA,NA,NA,NA,NA,NA,69.7042934,123.1853752,360.7789733,1305.6762845,847.4068152,597.0033011,474.6677326,2357.9482901
cod_bku_2015-12-01_ag_rep07_sub,14.1798996925,1.2612870336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_fo_rep01_sub,48.8981676102,3.8803699613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_fo_rep02_top,70.0922489166,5.5174398422,NA,NA,NA,NA,NA,NA,NA,NA,62.4870519,100.0267265,229.9185322,1237.7280983,375.1120853,521.148673,148.4507323,1360.3513155
cod_bku_2015-12-01_fo_rep02_sub,122.8445720673,9.2632311583,NA,NA,NA,NA,NA,NA,NA,NA,57.0754236,87.7324161,454.1796704,1339.1276879,414.6145341,632.1057268,158.3073676,2130.4304125
cod_bku_2015-12-01_fo_rep03_top,113.689956665,9.1087001562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_fo_rep04a_top,86.2283611298,7.1778458357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_bku_2015-12-01_fo_rep04b_top,105.2181911469,8.6372542381,NA,NA,NA,NA,NA,NA,NA,NA,49.0020846,75.753724,363.8460958,1176.4357097,451.2365377,784.2904732,164.0406861,1087.495553
cod_bku_2015-12-01_fo_rep04a_sub,48.9610624313,4.0618795156,NA,NA,NA,NA,NA,NA,NA,NA,42.6391744,73.3298902,126.0141892,990.1114866,323.1633882,513.0577703,128.9642714,693.0780406
cod_bku_2015-12-01_fo_rep04b_sub,65.8060216904,5.2013838291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_lub_rep01,9.389,1.054,NA,NA,NA,NA,NA,NA,NA,NA,10.5769351,12.199724,1464.3509756,845.0025302,1557.3444643,408.0978129,70.5625124,148.8356729
cod_lub_rep02,9.939,0.67,NA,NA,NA,NA,NA,NA,NA,NA,12.2247372,63.0997346,307.1113335,400.9509077,1017.1370968,200.4754538,22.6814516,268.7224169
cod_lub_rep03,10.42,1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_lub_rep04,12.66,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_lub_rep05,10.58,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_lub_rep06,7.04,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_lub_rep07,10.48,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod_lub_rep08,7.262,0.573,NA,NA,NA,NA,NA,NA,NA,NA,16.055545,18.4917538,197.9672134,670.6644372,1978.0055732,173.7263301,49.7611465,230.2883911
