sample_id,tc,tn,ph_h2o,ph_kcl,ph_cacl2,clay_0-0.002,silt_0.002-0.05,silt_0.002-0.063,sand_0.05-2,sand_0.063-2,al_icp,fe_icp,ca_icp,mg_icp,k_icp,mn_icp,na_icp,p_icp
bol_1x_mcrz_50,10.75,0.756,4.45,NA,NA,11,16.5,NA,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
bol_2x_mcrz_20,12.69,0.916,4.5,NA,NA,6.11,18.09,NA,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon_1x_mcrz_20,12.31,0.891,4.27,NA,NA,9.06,28.04,NA,62.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon_pp_mcar_50,8.014,0.604,4.47,NA,NA,11.6,21.9,NA,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon_2x_mcrz_20,15.05,1.008,4.17,NA,NA,9.37,23.93,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_arar_50,6.95,0.707,4.36,NA,NA,14.7,20.6,NA,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_msms_20,13.15,1.098,4.66,NA,NA,7.5,22.3,NA,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_nbnb_20,9.558,0.86,4.29,NA,NA,6.93,25.47,NA,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_rzrz_50,5.655,0.558,4.31,NA,NA,17,18.6,NA,64.4,NA,11.2253483,20.7750096,65.7992281,70.1858433,80.7970655,26.3196913,6.4439377,206.1709148
lif_s1_msms_20,15.73,1.231,4.64,NA,NA,4.83,25.27,NA,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lif_s3_arar_20,24.29,1.916,4.25,NA,NA,6.04,32.36,NA,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
lif_s3_mcar_20,16.82,1.311,4.85,NA,NA,5.33,24.27,NA,70.4,NA,10.2183565,15.9160027,574.7825558,123.1676905,105.2369077,27.3705979,6.9825436,241.7736147
lif_s3_mcmc_20,23.03,1.65,4.53,NA,NA,5.51,25.59,NA,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcms_20,10.69,0.865,4.33,NA,NA,4,22.8,NA,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_pp_mcar_20,13.455,0.987,4.57,NA,NA,4.67,22.43,NA,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_s2_mcmc_20,22.42,1.278,4.37,NA,NA,3.63,21.07,NA,75.3,NA,7.0984307,15.8663458,191.5119144,83.2660497,143.6838954,20.8165124,4.4901217,149.8788895
lil_s3_mcar_20,13.88,0.99,4.8,NA,NA,3.18,20.42,NA,76.4,NA,7.0094467,15.7087842,249.8835994,93.1769354,115.1201037,21.1765762,4.9835543,148.2360336
lil_s3_mcms_50,8.357,0.599,4.45,NA,NA,6.96,16.64,NA,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_mcrz_20,13.9,1.087,4.29,NA,NA,7.81,26.39,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_mmnb_50,6.837,0.584,4.4,NA,NA,7.47,18.93,NA,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_nbnb_20,11.32,0.947,4.55,NA,NA,4.82,23.68,NA,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_rzrz_50,5.847,0.498,4.22,NA,NA,13,12.9,NA,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
yal_s0_arar_20,27.55,1.929,4.19,NA,NA,5.8,21.4,NA,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
yal_s2_msms_20,19.37,1.423,5.04,NA,NA,5.25,21.35,NA,73.4,NA,9.705273,16.9057343,289.5534353,129.0780374,162.820897,24.4201692,5.4939566,163.9639935
yal_s2_rzrz_20,19.09,1.342,4.54,NA,NA,6.2,23.2,NA,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_1x_mcrz_50,8.22,0.785,4.69,NA,NA,8.84,17.76,NA,73.4,NA,10.8761625,21.2460773,89.8181591,69.4049411,95.867276,24.4958616,5.9606596,163.3057437
yol_2x_mcar_20,22.48,1.543,4.67,NA,NA,4.99,20.81,NA,74.2,NA,11.5000247,21.3322338,295.2990062,141.4107917,198.0887916,29.1139865,6.4702369,224.5936103
yol_pp_mcar_50,6.702,0.541,4.6,NA,NA,7.93,16.87,NA,75.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_ni_arar_50,8.525,0.767,3.98,NA,NA,22.9,20.9,NA,56.2,NA,31.1325332,35.1478529,70.9977951,122.2739805,133.0156839,39.4432195,7.9412349,232.7149951
yol_ni_mcar_50,7.745,0.733,4.21,NA,NA,22.8,22.5,NA,54.7,NA,34.4596473,37.6639026,68.4487098,128.3413309,125.3716551,38.5023993,8.9197225,243.8485287
yol_ni_mcmc_20,17.88,1.419,4.33,NA,NA,11.9,27.9,NA,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_ni_mcmc_50,9.329,0.852,4.22,NA,NA,19.5,22.3,NA,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_ni_mcms_20,13.15,1.134,4.36,NA,NA,15.8,27.9,NA,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_ni_mcrz_50,8.124,0.809,4.25,NA,NA,22.7,19.5,NA,57.8,NA,31.0471961,37.724058,84.6780203,122.78312940000001,126.3988809,38.1051091,8.9928058,249.8001599
yol_ni_arar_20,14.89,1.161,4.45,NA,NA,11.6,26.6,NA,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s1_rzrz_20,15.05,1.295,5.475,NA,NA,6.86,20.14,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s1_rzrz_50,5.9,0.496,4.67,NA,NA,10,15.3,NA,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s2_arar_50,5.282,0.471,4.64,NA,NA,10.4,13.7,NA,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s3_mcmc_50,6.435,0.585,4.69,NA,NA,12,14.1,NA,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_s3_rzrz_50,6.158,0.455,4.46,NA,NA,8.89,15.41,NA,75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
yon_1x_mcar_20,15.11,1.146,4.77,NA,NA,4.45,23.25,NA,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
yon_1x_mcmc_50,6.031,0.466,4.39,NA,NA,8.89,14.71,NA,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
yon_1x_mcrz_20,11.71,0.898,4.69,NA,NA,4.68,23.62,NA,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
yon_2x_mcms_50,4.691,0.345,4.42,NA,NA,7.42,16.88,NA,75.7,NA,8.7032965,18.613588,90.524629,64.6604493,47.8659753,21.5534831,5.484643,99.1460223
wak_ni_arar_20,11.62,0.894,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcar_20,21.94,1.673,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_nbnb_20,11.14,0.845,5.23,NA,NA,NA,NA,NA,NA,NA,7.1306856,18.9386669,58.4140421,45.8967473,61.4140204,16.6897263,5.4923108,166.8972631
wak_ni_mcnb_20,8.426,0.562,4.62,NA,NA,NA,NA,NA,NA,NA,7.1347101,18.1876295,60.8417579,40.5611719,59.8682898,16.2244688,4.4901217,162.2446877
wak_ni_msms_20,8.746,0.553,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcms_20,12.42,0.952,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_rzrz_20,15.53,1.15,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcrz_20,12.57,0.968,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcmc_20,14.75,1.065,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mmnb_20,10.25,0.755,5.12,NA,NA,NA,NA,NA,NA,NA,6.2209289,16.55871,62.2507893,41.5005262,69.5272149,16.6002105,3.9729837,157.7019997
wak_ni_arar_50,5.31,0.396,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcar_50,10.32,0.795,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_nbnb_50,4.872,0.447,4.55,NA,NA,NA,NA,NA,NA,NA,9.0023998,24.8320632,39.9514782,44.3905313,53.355939,22.1952657,5.48519,186.4402316
wak_ni_mcnb_50,5.527,0.394,4.78,NA,NA,NA,NA,NA,NA,NA,7.3837643,19.9370008,20.9290372,33.4864595,42.2801433,16.7432297,4.9741345,159.0606825
wak_ni_msms_50,5.423,0.36,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcms_50,7.675,0.532,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_rzrz_50,6.378,0.443,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcrz_50,6.682,0.475,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mcmc_50,5.286,0.443,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_ni_mmnb_50,5.95,0.39,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_arar_20,11.33,0.862,4.9,NA,NA,NA,NA,NA,NA,NA,8.8833747,16.0339123,252.2746071,86.8486352,83.8709677,37.2208437,5.4590571,206.7824648
ctr_ni_mcar_20,15.46,1.122,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_nbnb_20,12.17,1.01,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcnb_20,10.99,0.923,4.59,NA,NA,NA,NA,NA,NA,NA,7.3322577,14.2710572,135.25126,65.5763685,58.3424753,40.9852303,4.9865364,200.8276284
ctr_ni_msms_20,6.768,0.593,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcms_20,9.757,0.769,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_rzrz_20,9.846,0.794,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcrz_20,7.69,0.591,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcmc_20,8.922,0.694,4.4,NA,NA,NA,NA,NA,NA,NA,8.0986163,15.6769424,76.7641358,59.705439,65.2715496,34.1173937,4.982561,200.4396879
ctr_ni_mmnb_20,8.449,0.609,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_arar_50,5,0.42,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcar_50,5.572,0.426,4.29,NA,NA,NA,NA,NA,NA,NA,10.064397,19.2982144,60.3214204,64.9615296,64.6444555,27.8406556,5.4699155,208.8049167
ctr_ni_nbnb_50,5.028,0.441,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcnb_50,6.084,0.606,4.38,NA,NA,NA,NA,NA,NA,NA,12.2673449,25.684134,55.490413,71.3448168,60.3491272,31.7088075,4.9875312,233.852455
ctr_ni_msms_50,5.118,0.486,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcms_50,6.167,0.572,4.34,NA,NA,NA,NA,NA,NA,NA,11.0913249,22.3724769,58.1103296,65.8583735,62.1457691,30.9921758,4.9716615,209.1971864
ctr_ni_rzrz_50,5.175,0.484,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcrz_50,6.637,0.491,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mcmc_50,5.734,0.507,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_ni_mmnb_50,5.094,0.48,4.38,NA,NA,NA,NA,NA,NA,NA,11.4639025,23.0102792,54.9827459,62.8374239,65.6651079,27.491372899999998,5.4720923,216.0036446
ili_ni_arar_20,7.344,0.535,4.38,NA,NA,NA,NA,NA,NA,NA,6.6576628,16.977473,108.2194864,64.9316919,72.6802071,17.3151178,3.9824771,125.5346043
ili_ni_mcar_20,11.43,0.831,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_nbnb_20,12.27,0.776,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcnb_20,10.67,0.841,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_msms_20,8.275,0.573,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcms_20,11.5,0.994,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_rzrz_20,13,0.958,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcrz_20,14.73,0.987,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcmc_20,16.73,1.233,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mmnb_20,17.62,1.251,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_arar_50,14.44,1.077,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcar_50,8.01,0.619,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_nbnb_50,8.569,0.649,4.32,NA,NA,NA,NA,NA,NA,NA,8.9687668,22.368557,81.1073631,55.4945116,56.9373689,21.3440429,4.994506,115.2578318
ili_ni_mcnb_50,4.993,0.457,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_msms_50,5.406,0.448,4.29,NA,NA,NA,NA,NA,NA,NA,8.4094328,22.8298334,46.5310667,42.3009697,33.9422981,21.1504849,3.9932115,93.0621334
ili_ni_mcms_50,4.705,0.446,4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_rzrz_50,5.7375,0.395,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcrz_50,5.178,0.425,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mcmc_50,6.041,0.442,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_ni_mmnb_50,8.808,0.661,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_arar_20,15.52,1.397,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_mcar_20,14.66,1.291,5,NA,NA,NA,NA,NA,NA,NA,24.8138403,24.8541225,375.9672765,179.0320364,160.6946801,44.7580091,6.9867252,273.0238556
yol_in_nbnb_20,16.2,1.342,6.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_mcnb_20,17.49,1.4985,4.24,NA,NA,NA,NA,NA,NA,NA,21.4179448,23.0343147,213.0099814,158.7133195,202.0051618,37.5899967,6.9485805,263.129977
yol_in_msms_20,14.39,1.322,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_mcms_20,14.87,1.284,4.58,NA,NA,NA,NA,NA,NA,NA,24.1445748,26.5834207,190.5348389,125.7529937,135.7827476,45.7283613,6.9888179,251.5059874
yol_in_rzrz_20,13.49,1.186,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_mcrz_20,13.99,1.23,4.45,NA,NA,NA,NA,NA,NA,NA,26.2722097,28.9384589,139.6802391,123.2472698,134.271738,41.0824233,7.4872716,258.8192665
yol_in_mcmc_20,11.77,1.128,4.22,NA,NA,NA,NA,NA,NA,NA,28.4939976,30.7326865,83.2389229,118.2868904,130.1615799,35.0479675,7.4805506,249.7167686
yol_in_mmnb_20,19.665,2.359,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_arar_50,10.42,1.051,4.76,NA,NA,NA,NA,NA,NA,NA,31.8860408,34.3630029,206.7724882,163.6948865,186.8878673,43.0776017,8.9946032,271.3888908
yol_in_mcar_50,9.751,1.058,4.31,NA,NA,NA,NA,NA,NA,NA,25.9468172,30.6092221,88.3170632,110.396329,120.9637109,33.1188987,7.4977507,209.753025
yol_in_nbnb_50,13.11,1.112,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_mcnb_50,13.74,1.158,4.44,NA,NA,NA,NA,NA,NA,NA,29.153251,26.7310294,185.8905561,175.3684491,222.9108357,38.5810588,8.9964014,259.5453047
yol_in_msms_50,10.24,1.073,4.32,NA,NA,NA,NA,NA,NA,NA,34.5420673,39.9581435,70.8256114,129.1525854,140.2895657,41.6621243,8.4872691,266.6375958
yol_in_mcms_50,10.74,1.017,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_rzrz_50,8.764,1.029,4.4,NA,NA,NA,NA,NA,NA,NA,32.3283667,29.378154,92.2496197,126.4161456,138.8333999,40.999831,7.9904115000000004,245.9989859
yol_in_mcrz_50,10.05,1.043,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yol_in_mcmc_50,8.617,0.908,4.38,NA,NA,NA,NA,NA,NA,NA,35.8562953,40.1042436,70.6682706,129.5584961,134.6230554,39.2601503,8.4762665,247.338947
yol_in_mmnb_50,9.963,0.897,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_arar_20,11.68,0.794,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcar_20,13.86,0.912,5.22,NA,NA,NA,NA,NA,NA,NA,5.431401,7.8690137,204.2206765,73.8670532,77.2736279,13.0353623,4.4580939,95.5926571
ili_in_nbnb_20,13.64,0.909,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcnb_20,14.88,0.925,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_msms_20,11.17,0.738,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcms_20,13.57,0.907,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_rzrz_20,9.188,0.552,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcrz_20,14.71,0.926,4.65,NA,NA,NA,NA,NA,NA,NA,7.8764048,20.1727807,184.5071404,65.6025388,72.8324853,20.5007934,3.9908211,131.2050776
ili_in_mcmc_20,12.88,0.922,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mmnb_20,18.68,1.296,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_arar_50,7.968,0.609,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcar_50,6.483,0.521,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_nbnb_50,4.728,0.315,4.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcnb_50,7.466,0.531,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_msms_50,6.095,0.376,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcms_50,9.364,0.562,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_rzrz_50,6.6,0.42,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcrz_50,8.571,0.55,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mcmc_50,8.349,0.619,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_in_mmnb_50,7.775,0.535,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_arar_20,12.4,0.857,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_mcar_20,14.265,1.057,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_arar_20,17.86,1.264,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_mcar_20,12.42,0.847,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_arar_20,14.05,1.01,5.17,NA,NA,NA,NA,NA,NA,NA,11.2075146,19.0267109,166.6386087,94.0012665,150.6113928,25.636709,6.4618749,158.093039
ili_s2_mcar_20,15.18,1.202,4.48,NA,NA,NA,NA,NA,NA,NA,6.9572146,17.4382133,559.3307994,94.6559814,156.7632129,25.8152677,4.9766099,146.2865168
ili_s3_arar_20,12.04,0.812,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_mcar_20,17.63,1.298,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_arar_50,9.9655,0.6975,4.89,NA,NA,NA,NA,NA,NA,NA,8.6036982,12.9208876,122.7221347,78.8928009,71.1372003,17.5317335,4.9746294,83.2757343
ili_s0_mcar_50,10.6,0.749,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_arar_50,11.33,0.763,4.76,NA,NA,NA,NA,NA,NA,NA,11.4609213,14.6134335,112.7445907,104.0719299,87.8945266,21.6816521,6.9916101,95.3992691
ili_s1_mcar_50,10.76,0.817,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_arar_50,9.27,0.735,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_mcar_50,10.84,0.805,4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_arar_50,9.651,0.788,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_mcar_50,13.51,0.955,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_rzrz_20,15.66,0.96,4.85,NA,NA,NA,NA,NA,NA,NA,5.6983977,7.4846602,229.3472776,83.799966800000007,62.6118068,17.6420983,4.4722719,92.621016
ili_s0_mcrz_20,16.34,1.078,4.28,NA,NA,NA,NA,NA,NA,NA,6.2222073,8.3168554,127.8837792,79.3761388,68.7661949,13.2293565,5.9796691,97.0152808
ili_s1_rzrz_20,19.98,1.318,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_mcrz_20,14.98,1.093,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_rzrz_20,12.4,0.814,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_mcrz_20,23.53,1.377,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_rzrz_20,17.62,1.249,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_mcrz_20,14.28,0.992,4.92,NA,NA,NA,NA,NA,NA,NA,5.3868542,7.354227,135.8424103,74.9475367,63.9552313,14.0526631,4.9965024,89.0001999
ili_s0_rzrz_50,11.65,0.689,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_mcrz_50,10.08,0.617,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_rzrz_50,12.76,0.842,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_mcrz_50,11.69,0.814,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_rzrz_50,10.11,0.712,4.85,NA,NA,NA,NA,NA,NA,NA,7.5265725,9.1141342,114.7634948,71.7271842,61.8638994,14.3454368,5.4879266,76.5089965
ili_s2_mcrz_50,11.44,0.765,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_rzrz_50,12.26,0.874,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s3_mcrz_50,11.54,0.788,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_msms_20,12.95,0.769,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s0_mcms_20,14.72,0.901,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_msms_20,14.92,1.141,5.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s1_mcms_20,12.86,0.955,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_msms_20,17.93,1.161,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ili_s2_mcms_20,14.92,1.079,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
