table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR380_physical,Water content at saturation (calculation) (%w/w),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 5 kPa (%w/w),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 10 kPa (%w/w),TRUE,wr.10kPa,usda.a414,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.10kPa_usda.a414_w.pct,"Description Watt et al (2008) and Ross et al. (2009), the problem is that 33 kPa is not present, but it is roughly comparable to 10 kPa"
FR380_physical,Water content at 100 kPa (%w/w),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 1500 kPa (%w/w),TRUE,wr.1500kPa,usda.a417,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.1500kPa_usda.a417_w.pct,NA
FR380_physical,Water content at saturation (calculation) (%v/v),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 5 kPa (%v/v),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 10 kPa (%v/v),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 100 kPa (%v/v),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at 1500 kPa (%v/v),NA,NA,NA,NA,NA,NA,NA
FR380_physical,"Penetration Resistance at 10 kPa, 3-6 cm at FC, Mean of 2 reps (MPa)",NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at field moisture (%w/w),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Water content at field moisture (%v/v),NA,NA,NA,NA,NA,NA,NA
FR380_physical,"RAW 
(10-100 kPa)",NA,NA,NA,NA,NA,NA,NA
FR380_physical,"TAW
(10-1500 kPa)",NA,NA,NA,NA,NA,NA,NA
FR380_physical,Pedology stone content (%),NA,NA,NA,NA,NA,NA,NA
FR380_physical,RAW (10-100 kPa) (stone corr.) (%),NA,NA,NA,NA,NA,NA,NA
FR380_physical,TAW (100-1500 kPa) (stone corr.) (%),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Sample Method,NA,NA,NA,NA,NA,NA,Description Watt et al (2008) and Ross et al. (2009)
FR380_chemical,Horizon top (cm),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Horizon base (cm),NA,NA,NA,NA,NA,NA,NA
