table,original_name,import,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
HSDOS_SSL_ver1.1.csv,id.layer_local_c,,,,,,,
HSDOS_SSL_ver1.1.csv,pH_KCl,,,,,,,
HSDOS_SSL_ver1.1.csv,SOM,,,,,,,
HSDOS_SSL_ver1.1.csv,CaCO3,,,,,,,
HSDOS_SSL_ver1.1.csv,TSC,,,,,,,
HSDOS_SSL_ver1.1.csv,TN,,,,,,,
HSDOS_SSL_ver1.1.csv,P2O5_AL,,,,,,,
HSDOS_SSL_ver1.1.csv,K2O_AL,,,,,,,
HSDOS_SSL_ver1.1.csv,PLI,,,,,,,
